District,Projection,Region,LPC,CPC,NDP,GPC,PPC,BQ,IND
10001 Avalon,Safe LPC,Newfoundland,49,24,21,2,3,0,0
10002 Bonavista–Burin–Trinity,Safe LPC,Newfoundland,60,29,8,2,0,0,0
10003 Coast of Bays–Central–Notre Dame,Likely LPC,Newfoundland,56,34,8,2,0,0,0
10004 Labrador,Likely LPC,Newfoundland,54,28,16,2,0,0,0
10005 Long Range Mountains,Safe LPC,Newfoundland,56,28,12,4,0,0,0
10006 St. John's East,Toss up,Newfoundland,37,19,40,2,0,0,0
10007 St. John's South–Mount Pearl,Leaning LPC,Newfoundland,42,18,33,4,2,0,0
11001 Cardigan,Likely LPC,PEI,41,24,8,26,0,0,0
11002 Charlottetown,Likely LPC,PEI,39,21,14,25,0,0,0
11003 Egmont,Leaning LPC,PEI,40,32,15,12,0,0,0
11004 Malpeque,Likely LPC,PEI,42,23,11,24,0,0,0
12001 Cape Breton–Canso,Toss up,NovaScotia,33,33,15,14,3,0,0
12002 Central Nova,Toss up,NovaScotia,34,35,15,13,2,0,0
12003 Cumberland–Colchester,Likely LPC,NovaScotia,44,33,9,11,2,0,0
12004 Dartmouth–Cole Harbour,Leaning LPC,NovaScotia,38,16,31,12,2,0,0
12005 Halifax,Toss up,NovaScotia,38,12,35,12,2,0,0
12006 Halifax West,Safe LPC,NovaScotia,45,22,18,14,0,0,0
12007 Kings–Hants,Safe LPC,NovaScotia,47,24,11,14,3,0,0
12008 Sackville–Preston–Chezzetcook,Toss up,NovaScotia,35,18,32,13,2,0,0
12009 South Shore–St. Margarets,Likely LPC,NovaScotia,40,28,19,8,4,0,0
12010 Sydney–Victoria,Toss up,NovaScotia,31,31,23,11,0,0,3
12011 West Nova,Toss up,NovaScotia,35,38,12,14,0,0,0
13001 Acadie–Bathurst,Toss up,NewBrunswick,37,12,35,15,0,0,0
13002 Beauséjour,Safe LPC,NewBrunswick,44,14,16,21,4,0,0
13003 Fredericton,Toss up,NewBrunswick,31,30,11,25,1,0,0
13004 Fundy Royal,Toss up,NewBrunswick,32,34,15,13,6,0,0
13005 Madawaska–Restigouche,Likely LPC,NewBrunswick,44,19,25,11,0,0,0
13006 Miramichi–Grand Lake,Toss up,NewBrunswick,33,34,12,11,8,0,0
13007 Moncton–Riverview–Dieppe,Likely LPC,NewBrunswick,40,24,16,16,4,0,0
13008 New Brunswick Southwest,Toss up,NewBrunswick,32,34,11,16,6,0,0
13009 Saint John–Rothesay,Leaning LPC,NewBrunswick,37,31,15,11,5,0,0
13010 Tobique–Mactaquac,Toss up,NewBrunswick,33,34,9,17,6,0,0
24001 Abitibi–Baie-James–Nunavik–Eeyou,Toss up,Québec,30,9,22,5,2,32,0
24002 Abitibi–Témiscamingue,Toss up,Québec,28,8,23,6,2,32,0
24003 Ahuntsic-Cartierville,Safe LPC,Québec,49,7,15,7,1,21,0
24004 Alfred-Pellan,Likely LPC,Québec,40,12,12,6,1,28,0
24005 Argenteuil–La Petite-Nation,Leaning LPC,Québec,37,13,12,7,1,29,0
